"","GeneSet","Correlation","Metagenes"
"c2.31","c2.PID_PLK1_PATHWAY",0.625688073394495,"1"
"c2.32","c2.GAVIN_FOXP3_TARGETS_CLUSTER_P6",0.62535446205171,"1"
"c2.33","c2.KONG_E2F3_TARGETS/c2.ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR/c2.ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",0.62301918265221,"1"
"c2.34","c2.REACTOME_CELL_CYCLE/c2.REACTOME_CELL_CYCLE_MITOTIC",0.622351959966639,"1"
"c2.35","c2.WINNEPENNINCKX_MELANOMA_METASTASIS_SIGNED",0.618015012510425,"1"
"c2.36","c2.KAMMINGA_EZH2_TARGETS/c4.GNF2_FEN1/c4.GNF2_RRM1/c4.GNF2_SMC4L1",0.61534612176814,"1"
"c2.37","c2.BURTON_ADIPOGENESIS_3/c2.ISHIDA_E2F_TARGETS/c2.WHITFIELD_CELL_CYCLE_LITERATURE",0.614345287739783,"1"
"c2.38","c2.KAUFFMANN_DNA_REPAIR_GENES",0.614011676396997,"1"
"c2.39","c2.NADERI_BREAST_CANCER_PROGNOSIS_SIGNED",0.612343619683069,"1"
"c2.40","c2.YU_MYC_TARGETS_SIGNED",0.611676396997498,"1"
"c2.41","c2.REN_BOUND_BY_E2F",0.607339449541284,"1"
"c2.42","c2.BENPORATH_PROLIFERATION",0.606005004170142,"1"
"c2.43","c2.SU_TESTIS",0.605337781484571,"1"
"c2.44","c2.PATIL_LIVER_CANCER",0.605004170141785,"1"
"c2.45","c2.MUELLER_PLURINET",0.604670558798999,"1"
"c2.46","c2.REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION",0.603669724770642,"1"
"c2.47","c2.CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_SIGNED",0.599332777314429,"1"
"c2.48","c2.CAIRO_HEPATOBLASTOMA_CLASSES_SIGNED",0.598999165971643,"1"
"c2.49","c2.LI_WILMS_TUMOR_ANAPLASTIC_SIGNED",0.596330275229358,"1"
"c2.50","c2.REACTOME_MITOTIC_PROMETAPHASE",0.595996663886572,"1"
"c2.51","c2.HU_GENOTOXIC_DAMAGE_4HR",0.594995829858215,"1"
"c2.52","c2.KEGG_CELL_CYCLE",0.588323603002502,"1"
"c2.53","c2.WEST_ADRENOCORTICAL_TUMOR_MARKERS_SIGNED",0.58698915763136,"1"
"c2.54","c2.ZHANG_TLX_TARGETS_SIGNED",0.585654712260217,"1"
"c2.55","c2.REACTOME_G1_S_SPECIFIC_TRANSCRIPTION",0.585321100917431,"1"
"c2.56","c2.WHITFIELD_CELL_CYCLE_G2_M",0.583653044203503,"1"
"c2.57","c2.REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX/c2.REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS/c2.REACTOME_G2_M_CHECKPOINTS",0.583319432860717,"1"
"c2.58","c2.INAMURA_LUNG_CANCER_SCC_SIGNED",0.580650542118432,"1"
"c2.59","c2.REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION",0.580650542118432,"1"
"c2.60","c2.REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",0.57698081734779,"1"
"c2.61","c2.RHODES_UNDIFFERENTIATED_CANCER",0.575646371976647,"1"
"c2.62","c2.REACTOME_KINESINS",0.575312760633861,"1"
"c2.63","c2.SONG_TARGETS_OF_IE86_CMV_PROTEIN",0.574979149291076,"1"
"c2.64","c2.WONG_EMBRYONIC_STEM_CELL_CORE",0.573311092577148,"1"
"c2.65","c2.LOPEZ_MESOTELIOMA_SURVIVAL_TIME_SIGNED",0.572977481234362,"1"
"c2.66","c2.PUJANA_XPRSS_INT_NETWORK/c2.PUJANA_BRCA2_PCC_NETWORK/c2.PUJANA_BRCA_CENTERED_NETWORK",0.571309424520434,"1"
"c2.67","c2.OHASHI_AURKB_TARGETS",0.568306922435363,"1"
"c2.68","c2.WINTER_HYPOXIA_SIGNED",0.567973311092577,"1"
"c2.69","c2.REACTOME_CELL_CYCLE_CHECKPOINTS/c2.REACTOME_G1_S_TRANSITION/c2.REACTOME_SYNTHESIS_OF_DNA/c2.REACTOME_MITOTIC_G1_G1_S_PHASES/c2.REACTOME_MITOTIC_M_M_G1_PHASES/c2.REACTOME_DNA_REPLICATION/c2.REACTOME_S_PHASE",0.565971643035863,"1"
"c2.70","c2.MORI_LARGE_PRE_BII_LYMPHOCYTE_SIGNED",0.565304420350292,"1"
"c2.71","c2.BENPORATH_ES_1",0.564970809007506,"1"
"c2.72","c2.BOQUEST_STEM_CELL_CULTURED_VS_FRESH_SIGNED",0.563969974979149,"1"
"c2.73","c2.GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_SIGNED",0.561968306922435,"1"
"c2.74","c2.TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_SIGNED",0.558632193494579,"1"
"c2.75","c2.BIOCARTA_G2_PATHWAY",0.558632193494579,"1"
"c2.76","c2.PID_AURORA_A_PATHWAY",0.555963302752294,"1"
"c2.77","c2.MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_SIGNED",0.553628023352794,"1"
"c2.78","c2.PID_FOXM1PATHWAY",0.551292743953294,"1"
"c2.79","c2.REACTOME_METABOLISM_OF_NUCLEOTIDES",0.549958298582152,"1"
"c2.80","c2.SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_SIGNED",0.547289407839867,"1"
"c2.81","c2.PID_ATR_PATHWAY",0.546622185154295,"1"
"c2.82","c2.WAKASUGI_HAVE_ZNF143_BINDING_SITES",0.546622185154295,"1"
"c2.83","c2.HOELZEL_NF1_TARGETS_SIGNED",0.54628857381151,"1"
"c2.84","c2.MORI_PRE_BI_LYMPHOCYTE_SIGNED",0.54628857381151,"1"
"c2.85","c2.BIOCARTA_MCM_PATHWAY",0.545621351125938,"1"
"c2.86","c2.WEI_MYCN_TARGETS_WITH_E_BOX",0.545287739783153,"1"
"c2.87","c2.BIDUS_METASTASIS_SIGNED",0.533611342785655,"1"
"c2.88","c2.KANG_DOXORUBICIN_RESISTANCE_SIGNED",0.531943286071726,"1"
"c2.89","c2.SABATES_COLORECTAL_ADENOMA_SIGNED",0.531276063386155,"1"
"c2.90","c2.REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT",0.530942452043369,"1"
"c2.91","c2.KEGG_PYRIMIDINE_METABOLISM",0.530608840700584,"1"
"c2.92","c2.WHITFIELD_CELL_CYCLE_S",0.529608006672227,"1"
"c2.93","c2.SWEET_LUNG_CANCER_KRAS_SIGNED",0.527939949958299,"1"
"c2.94","c2.PID_BARD1PATHWAY",0.527606338615513,"1"
"c2.95","c2.FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_SIGNED",0.527272727272727,"1"
"c2.96","c2.KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_SIGNED",0.527272727272727,"1"
"c2.97","c2.HONRADO_BREAST_CANCER_BRCA1_VS_BRCA2",0.524603836530442,"1"
"c2.98","c2.TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C",0.524270225187656,"1"
"c2.99","c2.MONTERO_THYROID_CANCER_POOR_SURVIVAL_SIGNED",0.523936613844871,"1"
"c2.100","c2.REACTOME_POL_SWITCHING",0.523269391159299,"1"
"c2.101","c2.KAUFFMANN_MELANOMA_RELAPSE_SIGNED",0.522602168473728,"1"
"c2.102","c2.PUJANA_BRCA1_PCC_NETWORK/c2.PUJANA_CHEK2_PCC_NETWORK",0.522268557130942,"1"
"c2.103","c2.WONG_ENDMETRIUM_CANCER_SIGNED",0.519933277731443,"1"
"c2.104","c2.PID_AURORA_B_PATHWAY",0.519933277731443,"1"
"c2.105","c2.RHODES_CANCER_META_SIGNATURE",0.519599666388657,"1"
"c2.106","c2.LE_EGR2_TARGETS_SIGNED",0.517931609674729,"1"
"c2.107","c2.SASAKI_ADULT_T_CELL_LEUKEMIA",0.517931609674729,"1"
"c2.108","c2.REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP",0.517264386989158,"1"
"c2.109","c2.MENSSEN_MYC_TARGETS",0.517264386989158,"1"
"c2.110","c2.KAUFFMANN_DNA_REPLICATION_GENES",0.515929941618015,"1"
"c2.111","c2.SHEPARD_BMYB_TARGETS",0.514595496246872,"1"
"c2.112","c2.SERVITJA_LIVER_HNF1A_TARGETS_SIGNED",0.512927439532944,"1"
"c2.113","c2.CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_SIGNED",0.510258548790659,"1"
"c2.114","c2.RIZ_ERYTHROID_DIFFERENTIATION",0.510258548790659,"1"
"c2.115","c2.REACTOME_APOPTOSIS",0.509924937447873,"1"
"c2.116","c2.BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_SIGNED",0.508590492076731,"1"
"c2.117","c2.CROSBY_E2F4_TARGETS",0.507256046705588,"1"
"c2.118","c2.HAHTOLA_SEZARY_SYNDROM_SIGNED",0.506255212677231,"1"
"c2.119","c2.REACTOME_CHROMOSOME_MAINTENANCE/c2.REACTOME_TELOMERE_MAINTENANCE",0.505921601334445,"1"
"c2.120","c2.DELYS_THYROID_CANCER_SIGNED",0.50558798999166,"1"
"c2.121","c2.RAMASWAMY_METASTASIS_SIGNED",0.50558798999166,"1"
"c2.122","c2.OHASHI_AURKA_TARGETS",0.504253544620517,"1"
"c2.123","c2.CHUNG_BLISTER_CYTOTOXICITY_SIGNED",0.502919099249375,"1"
"c2.124","c2.KEGG_DNA_REPLICATION/c2.REACTOME_DNA_STRAND_ELONGATION",0.501918265221018,"1"
"c2.125","c2.BIOCARTA_RANMS_PATHWAY",0.501918265221018,"1"
"c2.126","c2.CHANDRAN_METASTASIS_SIGNED",0.501584653878232,"1"
"c2.127","c2.CHEN_ETV5_TARGETS_TESTIS",0.501251042535446,"1"
"c2.128","c2.BURTON_ADIPOGENESIS_PEAK_AT_16HR",0.500917431192661,"1"
"c2.129","c2.LE_SKI_TARGETS_SIGNED",0.500250208507089,"1"
"c2.130","c2.REACTOME_HIV_LIFE_CYCLE/c2.REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE",0.500250208507089,"1"
"c2.131","c2.HATADA_METHYLATED_IN_LUNG_CANCER_SIGNED",-0.500917431192661,"-1"
"c2.132","c2.MIKKELSEN_MCV6_HCP_WITH_H3K27ME3",-0.50325271059216,"-1"
"c2.133","c2.PEREZ_TP63_TARGETS/c2.PEREZ_TP53_AND_TP63_TARGETS",-0.504253544620517,"-1"
"c2.134","c2.TERAMOTO_OPN_TARGETS_CLUSTER_6",-0.50558798999166,"-1"
"c2.135","c2.FURUKAWA_DUSP6_TARGETS_PCI35_SIGNED",-0.508256880733945,"-1"
"c2.136","c2.SMID_BREAST_CANCER_RELAPSE_IN_PLEURA_SIGNED",-0.508924103419516,"-1"
"c2.137","c2.NAKAMURA_ALVEOLAR_EPITHELIUM",-0.509591326105088,"-1"
"c2.138","c2.ZHANG_TLX_TARGETS_36HR_SIGNED",-0.524270225187656,"-1"
"c2.139","c2.MITSIADES_RESPONSE_TO_APLIDIN_SIGNED",-0.528940783986656,"-1"
"c2.140","c2.ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_SIGNED",-0.531609674728941,"-1"
"c2.141","c2.CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_SIGNED",-0.531943286071726,"-1"
"c2.142","c2.REACTOME_G_ALPHA_S_SIGNALLING_EVENTS",-0.539282735613011,"-1"
"c2.143","c2.GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_SIGNED",-0.539949958298582,"-1"
"c2.144","c2.ZHAN_MULTIPLE_MYELOMA_CD2_SIGNED",-0.54161801501251,"-1"
"c2.145","c2.KATSANOU_ELAVL1_TARGETS_SIGNED",-0.543286071726439,"-1"
"c2.146","c2.LEE_BMP2_TARGETS_SIGNED",-0.55162635529608,"-1"
"c2.147","c2.HASLINGER_B_CLL_WITH_MUTATED_VH_GENES",-0.551959966638866,"-1"
"c2.148","c2.CROONQUIST_IL6_DEPRIVATION_SIGNED",-0.55696413678065,"-1"
"c2.149","c2.KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_SIGNED",-0.557964970809008,"-1"
"c2.150","c2.FERRANDO_T_ALL_WITH_MLL_ENL_FUSION_SIGNED",-0.558298582151793,"-1"
"c2.151","c2.LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_SIGNED",-0.563969974979149,"-1"
"c2.152","c2.WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_SIGNED",-0.564637197664721,"-1"
"c2.153","c2.SIMBULAN_PARP1_TARGETS_SIGNED",-0.572977481234362,"-1"
"c2.154","c2.ONDER_CDH1_TARGETS_3_SIGNED",-0.573311092577148,"-1"
"c2.155","c2.CROONQUIST_NRAS_SIGNALING_SIGNED",-0.574979149291076,"-1"
"c2.156","c2.BROWNE_HCMV_INFECTION_2HR_SIGNED",-0.589324437030859,"-1"
"c2.157","c2.ZHANG_TLX_TARGETS_60HR_SIGNED",-0.58999165971643,"-1"
"c2.158","c2.BENPORATH_SUZ12_TARGETS/c2.BENPORATH_EED_TARGETS/c2.BENPORATH_ES_WITH_H3K27ME3/c2.BENPORATH_PRC2_TARGETS",-0.591326105087573,"-1"
"c2.159","c2.MORI_IMMATURE_B_LYMPHOCYTE_SIGNED",-0.593994995829858,"-1"
"c2.160","c2.ODONNELL_TARGETS_OF_MYC_AND_TFRC_SIGNED",-0.604670558798999,"-1"
"c2.161","c2.FOURNIER_ACINAR_DEVELOPMENT_LATE_SIGNED",-0.606338615512927,"-1"
"c2.162","c2.VANTVEER_BREAST_CANCER_METASTASIS_SIGNED",-0.614678899082569,"-1"
"c2.163","c2.GENTLES_LEUKEMIC_STEM_CELL_SIGNED",-0.61534612176814,"-1"
"c2.164","c2.AFFAR_YY1_TARGETS_SIGNED",-0.621684737281068,"-1"
"c2.165","c2.MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_SIGNED",-0.624687239366138,"-1"
"c2.166","c2.SMID_BREAST_CANCER_LUMINAL_A_SIGNED",-0.626021684737281,"-1"
"c2.167","c2.ODONNELL_TFRC_TARGETS_SIGNED",-0.631025854879066,"-1"
"c2.168","c2.LE_NEURONAL_DIFFERENTIATION_SIGNED",-0.634695579649708,"-1"
"c2.169","c2.TARTE_PLASMA_CELL_VS_PLASMABLAST_SIGNED",-0.635696413678065,"-1"
"c2.170","c2.HORIUCHI_WTAP_TARGETS_SIGNED",-0.637030859049208,"-1"
"c2.171","c2.NAKAMURA_CANCER_MICROENVIRONMENT_SIGNED",-0.638698915763136,"-1"
"c2.172","c2.KUMAMOTO_RESPONSE_TO_NUTLIN_3A_SIGNED",-0.645371142618849,"-1"
"c2.173","c2.KOBAYASHI_EGFR_SIGNALING_24HR_SIGNED",-0.6790658882402,"-1"
"c2.174","c2.RUIZ_TNC_TARGETS_SIGNED",-0.689407839866556,"-1"
"c2.175","c2.TANG_SENESCENCE_TP53_TARGETS_SIGNED",-0.695079232693912,"-1"
"c3.1","c3.V$ELK1_02",0.573978315262719,"1"
"c3.2","c3.SCGGAAGY_V$ELK1_02",0.557964970809008,"1"
"c3.3","c3.CTGCAGY_UNKNOWN",-0.504587155963303,"-1"
"c3.4","c3.V$OCT1_01",-0.508924103419516,"-1"
"c3.5","c3.V$GATA_Q6",-0.515262718932444,"-1"
"c3.6","c3.V$OCT1_04",-0.531276063386155,"-1"
"c3.7","c3.V$OCT_C",-0.543619683069224,"-1"
"c4.1","c4.GNF2_RFC3/c4.GNF2_RFC4/c4.GNF2_SMC2L1/c4.GNF2_CKS1B/c4.GNF2_CKS2/c4.GNF2_TTK",0.66371976647206,"1"
"c4.2","c4.MODULE_17",0.651042535446205,"1"
"c4.3","c4.MODULE_315",0.632360300250209,"1"
"c4.4","c4.MORF_BUB1B",0.63069224353628,"1"
"c4.5","c4.MODULE_244",0.629357798165138,"1"
"c4.6","c4.MODULE_337",0.624353628023353,"1"
"c4.7","c4.MORF_FEN1",0.585988323603002,"1"
"c4.8","c4.MODULE_126",0.581651376146789,"1"
"c4.9","c4.MODULE_124",0.581317764804003,"1"
"c4.10","c4.MORF_ESPL1",0.565638031693078,"1"
"c4.11","c4.MORF_BUB1",0.564970809007506,"1"
"c4.12","c4.MODULE_403",0.563969974979149,"1"
"c4.13","c4.MORF_BUB3/c4.MORF_RAD23A",0.563302752293578,"1"
"c4.14","c4.MORF_RFC4/c4.MORF_RRM1",0.560633861551293,"1"
"c4.15","c4.MODULE_98/c4.MODULE_198/c4.MODULE_252",0.558632193494579,"1"
"c4.16","c4.MODULE_125/c4.MODULE_158",0.558632193494579,"1"
"c4.17","c4.MORF_UNG",0.553628023352794,"1"
"c4.18","c4.MODULE_278",0.553628023352794,"1"
"c4.19","c4.MORF_GSPT1",0.550291909924937,"1"
"c4.20","c4.MODULE_320",0.548957464553795,"1"
"c4.21","c4.MODULE_8",0.547956630525438,"1"
"c4.22","c4.MORF_CCNF",0.543619683069224,"1"
"c4.23","c4.MORF_EI24",0.537948290241868,"1"
"c4.24","c4.GNF2_PA2G4/c4.GNF2_RAN",0.531276063386155,"1"
"c4.25","c4.MORF_PRKDC",0.527939949958299,"1"
"c4.26","c4.MORF_GMPS",0.527939949958299,"1"
"c4.27","c4.MODULE_219",0.526605504587156,"1"
"c4.28","c4.GNF2_MCM5",0.524937447873228,"1"
"c4.29","c4.MORF_DNMT1",0.524270225187656,"1"
"c4.30","c4.GNF2_MSH2",0.520600500417014,"1"
"c4.31","c4.MORF_CSNK2B",0.520266889074229,"1"
"c4.32","c4.MORF_PTPN11",0.516263552960801,"1"
"c4.33","c4.MORF_PPP1CC",0.508924103419516,"1"
"c4.34","c4.MORF_XRCC5/c4.MORF_GNB1",0.503919933277731,"1"
"c4.35","c4.MODULE_451",0.502585487906589,"1"
"c4.36","c4.MORF_SOD1",0.501918265221018,"1"
"c4.37","c4.MORF_HDAC1",0.500917431192661,"1"
"c4.38","c4.MODULE_51",-0.506588824020017,"-1"
"c4.39","c4.GNF2_MAPT",-0.525938281901585,"-1"
"c4.40","c4.MODULE_19",-0.565638031693078,"-1"
"c4.41","c4.MODULE_11/c4.MODULE_66/c4.MODULE_100/c4.MODULE_137",-0.596663886572143,"-1"
"c5.1","c5.M_PHASE/c5.MITOSIS/c5.M_PHASE_OF_MITOTIC_CELL_CYCLE",0.689407839866556,"1"
"c5.2","c5.REGULATION_OF_MITOSIS",0.682068390325271,"1"
"c5.3","c5.CELL_CYCLE_PROCESS/c5.MITOTIC_CELL_CYCLE/c5.CELL_CYCLE_PHASE",0.652710592160133,"1"
"c5.4","c5.SPINDLE",0.643703085904921,"1"
"c5.5","c5.SPINDLE_POLE",0.628023352793995,"1"
"c5.6","c5.ORGANELLE_PART/c5.INTRACELLULAR_ORGANELLE_PART",0.624353628023353,"1"
"c5.7","c5.CHROMOSOME_SEGREGATION",0.588323603002502,"1"
"c5.8","c5.CELL_CYCLE_GO_0007049",0.575979983319433,"1"
"c5.9","c5.SPINDLE_MICROTUBULE",0.572643869891576,"1"
"c5.10","c5.MITOTIC_CELL_CYCLE_CHECKPOINT",0.568974145120934,"1"
"c5.11","c5.CONDENSED_CHROMOSOME",0.561968306922435,"1"
"c5.12","c5.MITOTIC_SISTER_CHROMATID_SEGREGATION/c5.SISTER_CHROMATID_SEGREGATION",0.554628857381151,"1"
"c5.13","c5.CELL_CYCLE_CHECKPOINT_GO_0000075",0.542618849040867,"1"
"c5.14","c5.MITOTIC_SPINDLE_ORGANIZATION_AND_BIOGENESIS/c5.SPINDLE_ORGANIZATION_AND_BIOGENESIS",0.541951626355296,"1"
"c5.15","c5.DOUBLE_STRAND_BREAK_REPAIR",0.536947456213511,"1"
"c5.16","c5.DNA_METABOLIC_PROCESS",0.516597164303586,"1"
"c5.17","c5.REGULATION_OF_MITOTIC_CELL_CYCLE",0.515596330275229,"1"
"c5.18","c5.RESPONSE_TO_ENDOGENOUS_STIMULUS/c5.RESPONSE_TO_DNA_DAMAGE_STIMULUS",0.514595496246872,"1"
"c5.19","c5.CHROMOSOMEPERICENTRIC_REGION/c5.KINETOCHORE",0.513594662218515,"1"
"c5.20","c5.PORE_COMPLEX/c5.NUCLEAR_PORE",0.508256880733945,"1"
"c5.21","c5.DNA_REPAIR",0.506255212677231,"1"
"c5.22","c5.MACROMOLECULAR_COMPLEX/c5.PROTEIN_COMPLEX",0.505921601334445,"1"
"c5.23","c5.INTERPHASE/c5.INTERPHASE_OF_MITOTIC_CELL_CYCLE",0.50325271059216,"1"
"c5.24","c5.NON_MEMBRANE_BOUND_ORGANELLE/c5.INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE",0.502919099249375,"1"
"c5.25","c5.NUCLEAR_MEMBRANE/c5.NUCLEAR_MEMBRANE_PART",0.501251042535446,"1"
"c5.26","c5.CHROMOSOMAL_PART/c5.CHROMOSOME",0.500250208507089,"1"
"c5.27","c5.PHOSPHORIC_DIESTER_HYDROLASE_ACTIVITY",-0.502251876563803,"-1"
"c5.28","c5.CELL_SURFACE_RECEPTOR_LINKED_SIGNAL_TRANSDUCTION_GO_0007166",-0.517597998331943,"-1"
"c6.1","c6.CSR_LATE_UP.V1_SIGNED",0.629691409507923,"1"
"c6.2","c6.MTOR_UP.V1_SIGNED",0.512260216847373,"1"
"c6.3","c6.GCNP_SHH_UP_EARLY.V1_SIGNED",0.502585487906589,"1"
"c7.1","c7.GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_SIGNED/c7.GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_SIGNED",0.618682235195997,"1"
"c7.2","c7.GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_SIGNED",0.616013344453711,"1"
"c7.3","c7.GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_SIGNED",0.614345287739783,"1"
"c7.4","c7.GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_SIGNED",0.587989991659716,"1"
"c7.5","c7.KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_SIGNED",0.585654712260217,"1"
"c7.6","c7.GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_SIGNED",0.575646371976647,"1"
"c7.7","c7.GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_SIGNED",0.569641367806505,"1"
"c7.8","c7.GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_SIGNED/c7.GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_SIGNED",0.565304420350292,"1"
"c7.9","c7.GSE14308_TH2_VS_TH17_SIGNED",0.562969140950792,"1"
"c7.10","c7.GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_SIGNED",0.562301918265221,"1"
"c7.11","c7.GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_SIGNED",0.557964970809008,"1"
"c7.12","c7.KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_SIGNED",0.555296080066722,"1"
"c7.13","c7.GSE7460_CTRL_VS_FOXP3_OVEREXPR_TCONV_1_SIGNED",0.554628857381151,"1"
"c7.14","c7.GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_SIGNED",0.547623019182652,"1"
"c7.15","c7.GSE14308_TH1_VS_TH17_SIGNED",0.546622185154295,"1"
"c7.16","c7.GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_SIGNED",0.542285237698082,"1"
"c7.17","c7.GSE3337_4H_VS_16H_IFNG_IN_CD8POS_DC_SIGNED",0.534945788156797,"1"
"c7.18","c7.GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_SIGNED",0.533611342785655,"1"
